name,tempo,energy,centroid,danceability
"Latin Pop Heroes - Charlie Brown",137.69,0.074388,1461.68,1.2306
"Latin Pop Heroes - Summertime Sadness",112.09,0.073659,1148.05,1.4410
"Latin Pop Heroes - Call Me Maybe",108.09,0.029394,1606.20,1.3217
"Latin Pop Heroes - Let's Ride",139.99,0.030487,1795.72,0.8664
"Latin Pop Heroes - Diamonds",99.97,0.027304,1579.90,1.0724
"Latin Pop Heroes - Runnaways",131.92,0.021569,1809.38,1.0782
"JS aka The Best - Lo-Fi Chill",99.87,0.079059,293.97,1.4603
"Lil Gromit - Malawi Gold",98.13,0.020190,542.27,1.6990
"Krikor Lofi - Lofi Chill",134.77,0.022966,850.53,1.0617
"JoaoziinBeats - Lofi Chill",129.47,0.011212,1009.08,1.1856
"BƱBBLE - Season Changes",150.55,0.027895,491.99,1.1837
"Chill Ghost - lofi",84.96,0.043928,540.53,1.2606
"Hovey Benjamin - Lofi Chill Study Beats",83.27,0.047274,1268.61,1.4476
"Lofi Chill Brazil - Jardim Botânico",89.98,0.069521,1155.94,2.0349
